updated,date through,zipcode,confirmed_cases
2020-04-05,2020-03-31,92116,27
2020-04-05,2020-03-31,92117,11
2020-04-05,2020-03-31,92118,2
2020-04-05,2020-03-31,92119,4
2020-04-05,2020-03-31,92120,9
2020-04-05,2020-03-31,92121,3
2020-04-05,2020-03-31,92122,9
2020-04-05,2020-03-31,92123,14
2020-04-05,2020-03-31,92124,6
2020-04-05,2020-03-31,92126,15
2020-04-05,2020-03-31,92127,13
2020-04-05,2020-03-31,92128,17
2020-04-05,2020-03-31,92129,12
2020-04-05,2020-03-31,92130,20
2020-04-05,2020-03-31,92131,4
2020-04-05,2020-03-31,92139,13
2020-04-05,2020-03-31,92145,2
2020-04-05,2020-03-31,92147,1
2020-04-05,2020-03-31,92154,20
2020-04-05,2020-03-31,92168,2
2020-04-05,2020-03-31,92173,5
2020-04-05,2020-03-31,92196,1
2020-04-05,2020-03-31,Unknown*,27
2020-04-05,2020-03-31,TOTAL,849
2020-04-05,2020-04-01,91902,8
2020-04-05,2020-04-01,91909,1
2020-04-05,2020-04-01,91910,21
2020-04-05,2020-04-01,91911,16
2020-04-05,2020-04-01,91913,19
2020-04-05,2020-04-01,91914,2
2020-04-05,2020-04-01,91915,5
2020-04-05,2020-04-01,91932,1
2020-04-05,2020-04-01,91935,1
2020-04-05,2020-04-01,91941,4
2020-04-05,2020-04-01,91942,9
2020-04-05,2020-04-01,91945,8
2020-04-05,2020-04-01,91950,11
2020-04-05,2020-04-01,91977,19
2020-04-05,2020-04-01,91978,2
2020-04-05,2020-04-01,92007,4
2020-04-05,2020-04-01,92008,7
2020-04-05,2020-04-01,92009,14
2020-04-05,2020-04-01,92010,6
2020-04-05,2020-04-01,92011,5
2020-04-05,2020-04-01,92014,9
2020-04-05,2020-04-01,92019,20
2020-04-05,2020-04-01,92020,25
2020-04-05,2020-04-01,92021,18
2020-04-05,2020-04-01,92024,21
2020-04-05,2020-04-01,92025,10
2020-04-05,2020-04-01,92026,5
2020-04-05,2020-04-01,92027,6
2020-04-05,2020-04-01,92028,5
2020-04-05,2020-04-01,92029,7
2020-04-05,2020-04-01,92037,29
2020-04-05,2020-04-01,92039,1
2020-04-05,2020-04-01,92040,8
2020-04-05,2020-04-01,92054,7
2020-04-05,2020-04-01,92056,7
2020-04-05,2020-04-01,92057,6
2020-04-05,2020-04-01,92058,4
2020-04-05,2020-04-01,92061,2
2020-04-05,2020-04-01,92064,10
2020-04-05,2020-04-01,92065,4
2020-04-05,2020-04-01,92067,13
2020-04-05,2020-04-01,92069,5
2020-04-05,2020-04-01,92071,10
2020-04-05,2020-04-01,92075,4
2020-04-05,2020-04-01,92078,8
2020-04-05,2020-04-01,92081,5
2020-04-05,2020-04-01,92083,1
2020-04-05,2020-04-01,92084,8
2020-04-05,2020-04-01,92088,1
2020-04-05,2020-04-01,92091,1
2020-04-05,2020-04-01,92092,3
2020-04-05,2020-04-01,92093,1
2020-04-05,2020-04-01,92101,28
2020-04-05,2020-04-01,92102,13
2020-04-05,2020-04-01,92103,58
2020-04-05,2020-04-01,92104,25
2020-04-05,2020-04-01,92105,24
2020-04-05,2020-04-01,92106,6
2020-04-05,2020-04-01,92107,3
2020-04-05,2020-04-01,92108,14
2020-04-05,2020-04-01,92109,21
2020-04-05,2020-04-01,92110,13
2020-04-05,2020-04-01,92111,13
2020-04-05,2020-04-01,92113,21
2020-04-05,2020-04-01,92114,14
2020-04-05,2020-04-01,92115,16
2020-04-05,2020-04-01,92116,29
2020-04-05,2020-04-01,92117,13
2020-04-05,2020-04-01,92118,2
2020-04-05,2020-04-01,92119,4
2020-04-05,2020-04-01,92120,11
